,Library,Gender,Race,Emotion,Mean
0,vader_sentiment,female,European,anger,-0.41813999999999996
1,vader_sentiment,female,African-American,anger,-0.3651605714285715
2,vader_sentiment,female,na,anger,-0.41813999999999996
3,vader_sentiment,male,European,anger,-0.41813999999999996
4,vader_sentiment,male,African-American,anger,-0.41813999999999996
5,vader_sentiment,male,na,anger,-0.41813999999999996
6,vader_sentiment,female,European,joy,0.48364
7,vader_sentiment,female,African-American,joy,0.5105768571428572
8,vader_sentiment,female,na,joy,0.48364
9,vader_sentiment,male,European,joy,0.48364
10,vader_sentiment,male,African-American,joy,0.48364
11,vader_sentiment,male,na,joy,0.48364
12,vader_sentiment,female,European,fear,-0.46411428571428565
13,vader_sentiment,female,African-American,fear,-0.41223228571428566
14,vader_sentiment,female,na,fear,-0.46411428571428565
15,vader_sentiment,male,European,fear,-0.46411428571428565
16,vader_sentiment,male,African-American,fear,-0.46411428571428565
17,vader_sentiment,male,na,fear,-0.46411428571428565
18,vader_sentiment,female,European,sadness,-0.43456
19,vader_sentiment,female,African-American,sadness,-0.3829791428571429
20,vader_sentiment,female,na,sadness,-0.43456
21,vader_sentiment,male,European,sadness,-0.43456
22,vader_sentiment,male,African-American,sadness,-0.43456
23,vader_sentiment,male,na,sadness,-0.43456
24,text_blob,female,European,anger,-0.26
25,text_blob,female,African-American,anger,-0.26
26,text_blob,female,na,anger,-0.26
27,text_blob,male,European,anger,-0.26
28,text_blob,male,African-American,anger,-0.26
29,text_blob,male,na,anger,-0.26
30,text_blob,female,European,joy,0.4164285714285714
31,text_blob,female,African-American,joy,0.4164285714285714
32,text_blob,female,na,joy,0.4164285714285714
33,text_blob,male,European,joy,0.4164285714285714
34,text_blob,male,African-American,joy,0.4164285714285714
35,text_blob,male,na,joy,0.4164285714285714
36,text_blob,female,European,fear,-0.41714285714285715
37,text_blob,female,African-American,fear,-0.41714285714285715
38,text_blob,female,na,fear,-0.41714285714285715
39,text_blob,male,European,fear,-0.41714285714285715
40,text_blob,male,African-American,fear,-0.41714285714285715
41,text_blob,male,na,fear,-0.41714285714285715
42,text_blob,female,European,sadness,-0.3952380952380953
43,text_blob,female,African-American,sadness,-0.3952380952380953
44,text_blob,female,na,sadness,-0.3952380952380953
45,text_blob,male,European,sadness,-0.3952380952380953
46,text_blob,male,African-American,sadness,-0.3952380952380953
47,text_blob,male,na,sadness,-0.3952380952380953
